family,alpha,final_f1_star,count_min,count_sketch,double_mg,double_ss,integrated_sspm
uniform,2.0,50000,0.003347725657427,2.238501370697533e-05,2.5302061122956644e-05,0.0049546979388770005,5.563712051984972e-05
uniform,2.0,100000,0.003442700028496,1.8401671785454202e-05,1.580280530665231e-05,0.004974197194693,3.7262609631763924e-05
uniform,2.0,200000,0.003510756507059,1.5346195205994244e-05,1.156296613207219e-05,0.004993426395939001,2.8272781934021712e-05
uniform,2.0,500000,0.003558582361288,1.2628395446905722e-05,1.006030535119413e-05,0.004987939694648,2.5018065438149775e-05
uniform,3.0,50000,0.003346470169008,2.239309712889432e-05,2.5416921197312152e-05,0.0033145433720210005,6.0830788026878443e-05
uniform,3.0,100000,0.0034364132087420004,1.8336078555590752e-05,1.5813272093759903e-05,0.0033141770668350004,4.042318656952803e-05
uniform,3.0,200000,0.003498262813459,1.5298778015868423e-05,1.1577517808536511e-05,0.003323412231424,3.246163201482597e-05
uniform,3.0,500000,0.0035592635308560002,1.267257189447089e-05,1.0063716065910392e-05,0.0033239323180360002,3.0130673296626973e-05
uniform,4.0,50000,0.0033379897959180003,2.2477040816326534e-05,2.5448469387755102e-05,0.0024745096938770003,6.398061224489796e-05
uniform,4.0,100000,0.0034428738461530005,1.8301538461538463e-05,1.5779092702169623e-05,0.002484220907297,4.716244575936884e-05
uniform,4.0,200000,0.003491725371237,1.5191194314439241e-05,1.1535101404056161e-05,0.0024834648985950004,3.7661986479459186e-05
uniform,4.0,500000,0.0035623969908450005,1.2654440718249292e-05,1.006280149450638e-05,0.002489929262716,3.505179411261166e-05
uniform,6.0,50000,0.0033494173868830004,2.236603965429588e-05,2.5301982714794103e-05,0.0016346578546000002,7.629079816980174e-05
uniform,6.0,100000,0.0034451281119100004,1.845222476882952e-05,1.5783134434521462e-05,0.0016541786137670002,5.553844937959378e-05
uniform,6.0,200000,0.00350910059883,1.5152077408614832e-05,1.1540195602413811e-05,0.001653450093639,4.685851194192042e-05
