algorithm,alpha,avg_abs_error,avg_norm_abs_error,avg_relative_error,dataset_name,deletions,domain_size,estimator_seed,family,final_f1_star,heavy_avg_norm_abs_error,heavy_avg_relative_error,heavy_query_count,hh_f1,hh_precision,hh_recall,insertions,logical_size,max_norm_abs_error,memory_usage_bytes,middle_avg_norm_abs_error,middle_avg_relative_error,middle_query_count,observed_final_f1,param_capacity_per_summary,seed,stream_length,stream_mode,support_size,tail_avg_norm_abs_error,tail_avg_relative_error,tail_query_count,validation,param_depth,param_seed,param_width,param_capacity,zipf_s,average_transaction_size,distinct_items,occurrence_count,source_path,transaction_count
double_mg,6.0,1.5783134434521457,1.578313443452146e-05,0.9983142337785506,uniform__F1_100000__alpha_6p0__non_interleaved,250000,100000,20260419,uniform,100000,5.9300000000000005e-05,0.996,100,0.02,0.02,0.02,350000,1198,8e-05,45724,1.2300000000000003e-05,1.0,100,100000,599,20260419,600000,non-interleaved,63265,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 250000, 'total_insertions': 350000}",,,,,,,,,,
double_ss,6.0,165.4178613767486,0.0016541786137674861,127.27054547575769,uniform__F1_100000__alpha_6p0__non_interleaved,250000,100000,20260420,uniform,100000,0.0016106,27.404261904761903,100,0.02,0.02,0.02,350000,1200,0.00167,142364,0.0016577,146.795,100,100000,600,20260419,600000,non-interleaved,63265,0.0016597,165.97,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 250000, 'total_insertions': 350000}",,,,,,,,,,
count_min,6.0,344.5128111910219,0.003445128111910219,264.6270622438496,uniform__F1_100000__alpha_6p0__non_interleaved,250000,100000,20260421,uniform,100000,0.0034554,58.764095238095244,100,0.01,0.01,0.01,350000,1360,0.00393,53020,0.0034337,304.175,100,100000,,20260419,600000,non-interleaved,63265,0.0034416000000000004,344.16,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 250000, 'total_insertions': 350000}",5,20260421,272,,,,,,,
count_sketch,6.0,1.8452224768829526,1.8452224768829528e-05,1.4160593949110505,uniform__F1_100000__alpha_6p0__non_interleaved,250000,100000,20260422,uniform,100000,1.7100000000000002e-05,0.29447619047619045,100,0.07,0.07,0.07,350000,50000,0.0001,644784,1.6300000000000003e-05,1.435,100,100000,,20260419,600000,non-interleaved,63265,1.73e-05,1.73,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 250000, 'total_insertions': 350000}",5,20260422,10000,,,,,,,
integrated_sspm,6.0,5.5538449379593775,5.5538449379593774e-05,3.9069145657156406,uniform__F1_100000__alpha_6p0__non_interleaved,250000,100000,20260423,uniform,100000,0.0002567,4.944,100,0.01,0.01,0.01,350000,350,0.00999,74310,1.2300000000000003e-05,1.0,100,100000,,20260419,600000,non-interleaved,63265,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 250000, 'total_insertions': 350000}",,,,350,,,,,,
double_mg,8.0,1.5771834371935596,1.5771834371935596e-05,0.9966432585750589,uniform__F1_100000__alpha_8p0__non_interleaved,350000,100000,20260419,uniform,100000,5.7600000000000004e-05,1.0,100,0.0,0.0,0.0,450000,1598,8e-05,97344,1.24e-05,1.0,100,100000,799,20260419,800000,non-interleaved,63226,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 350000, 'total_insertions': 450000}",,,,,,,,,,
double_ss,8.0,123.41883086072185,0.0012341883086072186,94.8624491243054,uniform__F1_100000__alpha_8p0__non_interleaved,350000,100000,20260420,uniform,100000,0.0011922,20.975916666666667,100,0.0,0.0,0.0,450000,1600,0.00125,238436,0.0012376,109.0,100,100000,800,20260419,800000,non-interleaved,63226,0.00124,124.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 350000, 'total_insertions': 450000}",,,,,,,,,,
count_min,8.0,343.6994907158448,0.0034369949071584474,263.56793746695524,uniform__F1_100000__alpha_8p0__non_interleaved,350000,100000,20260421,uniform,100000,0.0034477999999999996,60.619976190476194,100,0.0,0.0,0.0,450000,1360,0.0039,52996,0.0034538999999999998,303.71,100,100000,,20260419,800000,non-interleaved,63226,0.0034171,341.71,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 350000, 'total_insertions': 450000}",5,20260421,272,,,,,,,
count_sketch,8.0,1.8323316357194825,1.832331635719483e-05,1.406252193567143,uniform__F1_100000__alpha_8p0__non_interleaved,350000,100000,20260422,uniform,100000,1.8900000000000002e-05,0.3320119047619048,100,0.09,0.09,0.09,450000,50000,0.00012,641316,1.86e-05,1.625,100,100000,,20260419,800000,non-interleaved,63226,2.05e-05,2.05,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 350000, 'total_insertions': 450000}",5,20260422,10000,,,,,,,
integrated_sspm,8.0,6.526776958846044,6.526776958846045e-05,4.751134290745369,uniform__F1_100000__alpha_8p0__non_interleaved,350000,100000,20260423,uniform,100000,5.7600000000000004e-05,1.0,100,0.0,0.0,0.0,450000,450,0.00998,84758,1.24e-05,1.0,100,100000,,20260419,800000,non-interleaved,63226,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 350000, 'total_insertions': 450000}",,,,450,,,,,,
