algorithm,algorithm_variant,alpha,avg_abs_error,avg_norm_abs_error,avg_relative_error,config_epsilon,dataset_name,deletions,domain_size,estimator_seed,family,final_f1_star,heavy_avg_norm_abs_error,heavy_avg_relative_error,heavy_query_count,hh_f1,hh_precision,hh_recall,insertions,logical_size,max_norm_abs_error,memory_usage_bytes,middle_avg_norm_abs_error,middle_avg_relative_error,middle_query_count,observed_final_f1,param_capacity_per_summary,seed,stream_length,stream_mode,support_size,tail_avg_norm_abs_error,tail_avg_relative_error,tail_query_count,validation,config_delta,param_depth,param_seed,param_width,param_capacity,zipf_s,average_transaction_size,distinct_items,occurrence_count,source_path,transaction_count
double_ss,double_ss__eps_0p10,2.0,4998.416869835038,0.04998416869835037,3835.805005857582,0.1,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260424,uniform,100000,0.0499424,876.9166666666667,100,0.0,0.0,0.0,150000,40,0.04999,5796,0.0499876,4399.0,100,100000,20,20260419,200000,non-interleaved,63166,0.04999,4999.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,,,,,,,,
count_min,count_min__eps_0p01,2.0,344.98017921033465,0.0034498017921033466,264.7319914420506,0.01,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260425,uniform,100000,0.0034254000000000003,60.12438095238095,100,0.0,0.0,0.0,150000,1360,0.00393,53056,0.0034476000000000003,303.315,100,100000,,20260419,200000,non-interleaved,63166,0.0034671000000000003,346.71,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",0.01,5,20260425,272,,,,,,,
count_min,count_min__eps_0p05,2.0,1770.456448089162,0.01770456448089162,1358.618351060622,0.05,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260426,uniform,100000,0.0177257,311.1814642857143,100,0.0,0.0,0.0,150000,275,0.0187,12908,0.017690300000000003,1556.345,100,100000,,20260419,200000,non-interleaved,63166,0.0176848,1768.48,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",0.01,5,20260426,55,,,,,,,
count_min,count_min__eps_0p10,2.0,3500.919339518095,0.03500919339518095,2686.5103637166167,0.1,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260427,uniform,100000,0.035064000000000005,615.6991785714285,100,0.0,0.0,0.0,150000,140,0.03643,7820,0.0350516,3085.375,100,100000,,20260419,200000,non-interleaved,63166,0.0350425,3504.25,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",0.01,5,20260427,28,,,,,,,
count_sketch,count_sketch__eps_0p01,2.0,1.5763068739511763,1.5763068739511765e-05,1.2087763836180707,0.01,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260428,uniform,100000,1.49e-05,0.2610238095238095,100,0.12,0.12,0.12,150000,50000,0.0001,524824,1.17e-05,1.03,100,100000,,20260419,200000,non-interleaved,63166,1.3900000000000002e-05,1.39,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",0.01,5,20260428,10000,,,,,,,
count_sketch,count_sketch__eps_0p05,2.0,7.682408257606941,7.68240825760694e-05,5.8860736374149445,0.05,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260429,uniform,100000,7.41e-05,1.304440476190476,100,0.0,0.0,0.0,150000,2000,0.00043,41716,8.04e-05,7.11,100,100000,,20260419,200000,non-interleaved,63166,8.999999999999999e-05,9.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",0.01,5,20260429,400,,,,,,,
count_sketch,count_sketch__eps_0p10,2.0,15.488474812399076,0.00015488474812399075,11.883694381244883,0.1,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260430,uniform,100000,0.0001575,2.779892857142857,100,0.0,0.0,0.0,150000,500,0.0009,14960,0.0001564,13.845,100,100000,,20260419,200000,non-interleaved,63166,0.000156,15.6,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",0.01,5,20260430,100,,,,,,,
integrated_sspm,integrated_sspm__eps_0p01,2.0,3.7262609631763923,3.7262609631763924e-05,2.4197748788905424,0.01,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260431,uniform,100000,0.0002553,4.625,100,0.02,0.02,0.02,150000,150,0.00999,25702,1.24e-05,1.0,100,100000,,20260419,200000,non-interleaved,63166,0.0001098,10.98,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,,150,,,,,,
integrated_sspm,integrated_sspm__eps_0p05,2.0,3.63891967197543,3.63891967197543e-05,2.096663289322315,0.05,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260432,uniform,100000,0.0010553,19.291666666666664,100,0.02,0.02,0.02,150000,30,0.04999,6146,1.24e-05,1.0,100,100000,,20260419,200000,non-interleaved,63166,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,,30,,,,,,
integrated_sspm,integrated_sspm__eps_0p10,2.0,3.640091188297502,3.640091188297502e-05,2.0417418653495023,0.1,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260433,uniform,100000,5.7600000000000004e-05,1.0,100,0.0,0.0,0.0,150000,15,0.09999,3482,1.24e-05,1.0,100,100000,,20260419,200000,non-interleaved,63166,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,,15,,,,,,
double_mg,double_mg__eps_0p01,3.0,1.5813272093759898,1.58132720937599e-05,0.9982776369971492,0.01,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260419,uniform,100000,5.9300000000000005e-05,1.0,100,0.0,0.0,0.0,200000,598,7e-05,23420,1.24e-05,1.0,100,100000,299,20260419,300000,non-interleaved,63140,9.9e-06,0.99,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",,,,,,,,,,,
double_mg,double_mg__eps_0p05,3.0,1.5835286664554957,1.5835286664554958e-05,0.9998310632456975,0.05,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260420,uniform,100000,5.9300000000000005e-05,1.0,100,0.0,0.0,0.0,200000,118,7e-05,7196,1.24e-05,1.0,100,100000,59,20260419,300000,non-interleaved,63140,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",,,,,,,,,,,
double_mg,double_mg__eps_0p10,3.0,1.5835286664554957,1.5835286664554958e-05,0.9998310632456975,0.1,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260421,uniform,100000,5.9300000000000005e-05,1.0,100,0.0,0.0,0.0,200000,58,7e-05,4124,1.24e-05,1.0,100,100000,29,20260419,300000,non-interleaved,63140,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",,,,,,,,,,,
double_ss,double_ss__eps_0p01,3.0,331.41770668356037,0.003314177066835603,254.21945114409402,0.01,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260422,uniform,100000,0.0032706999999999996,55.68928571428572,100,0.0,0.0,0.0,200000,600,0.00333,71804,0.0033176,292.04,100,100000,300,20260419,300000,non-interleaved,63140,0.0033201000000000003,332.01,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",,,,,,,,,,,
double_ss,double_ss__eps_0p05,3.0,1665.4161387393094,0.016654161387393094,1276.6250880130322,0.05,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260423,uniform,100000,0.0166107,282.78690476190474,100,0.0,0.0,0.0,200000,120,0.01667,17236,0.0166576,1465.96,100,100000,60,20260419,300000,non-interleaved,63140,0.01666,1666.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",,,,,,,,,,,
double_ss,double_ss__eps_0p10,3.0,3331.416392144441,0.03331416392144441,2553.4840313664267,0.1,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260424,uniform,100000,0.0332707,566.4035714285715,100,0.0,0.0,0.0,200000,60,0.03333,8988,0.0333176,2932.04,100,100000,30,20260419,300000,non-interleaved,63140,0.03332,3332.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",,,,,,,,,,,
count_min,count_min__eps_0p01,3.0,344.425641431739,0.00344425641431739,263.9809203659291,0.01,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260425,uniform,100000,0.0034368,58.49695238095238,100,0.0,0.0,0.0,200000,1360,0.00393,52984,0.0034535,303.88,100,100000,,20260419,300000,non-interleaved,63140,0.0034302,343.02,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",0.01,5,20260425,272,,,,,,,
count_min,count_min__eps_0p05,3.0,1768.5222363002852,0.01768522236300285,1355.477252251233,0.05,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260426,uniform,100000,0.0176142,299.8332380952381,100,0.0,0.0,0.0,200000,275,0.01864,12836,0.0177235,1559.685,100,100000,,20260419,300000,non-interleaved,63140,0.0177107,1771.07,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",0.01,5,20260426,55,,,,,,,
count_min,count_min__eps_0p10,3.0,3503.1289198606273,0.03503128919860627,2684.9151001553614,0.1,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260427,uniform,100000,0.035008500000000005,596.0249047619047,100,0.0,0.0,0.0,200000,140,0.03632,7748,0.0349944,3079.435,100,100000,,20260419,300000,non-interleaved,63140,0.0350024,3500.24,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",0.01,5,20260427,28,,,,,,,
count_sketch,count_sketch__eps_0p01,3.0,1.5699239784605639,1.569923978460564e-05,1.2035539315504473,0.01,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260428,uniform,100000,1.66e-05,0.2866190476190476,100,0.14,0.14,0.14,200000,50000,0.0001,522988,1.6100000000000002e-05,1.4,100,100000,,20260419,300000,non-interleaved,63140,1.42e-05,1.42,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",0.01,5,20260428,10000,,,,,,,
count_sketch,count_sketch__eps_0p05,3.0,7.800079189103579,7.800079189103579e-05,5.986309787773202,0.05,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260429,uniform,100000,7.27e-05,1.2376666666666667,100,0.01,0.01,0.01,200000,2000,0.00038,41924,7.28e-05,6.43,100,100000,,20260419,300000,non-interleaved,63140,7.74e-05,7.74,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",0.01,5,20260429,400,,,,,,,
count_sketch,count_sketch__eps_0p10,3.0,16.04060817231549,0.0001604060817231549,12.289384436701509,0.1,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260430,uniform,100000,0.000184,3.122,100,0.01,0.01,0.01,200000,500,0.00076,15308,0.0001642,14.26,100,100000,,20260419,300000,non-interleaved,63140,0.00017010000000000001,17.01,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",0.01,5,20260430,100,,,,,,,
integrated_sspm,integrated_sspm__eps_0p01,3.0,4.042318656952803,4.042318656952803e-05,2.7308626333016575,0.01,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260431,uniform,100000,5.9300000000000005e-05,1.0,100,0.0,0.0,0.0,200000,200,0.00999,40142,1.24e-05,1.0,100,100000,,20260419,300000,non-interleaved,63140,0.00010969999999999998,10.97,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",,,,,200,,,,,,
