algorithm_variant,algorithm,family,stream_mode,alpha,final_f1_star,num_runs,config_epsilon,config_delta,config_target_logical_size,avg_norm_abs_error,avg_relative_error,avg_memory_usage_bytes,avg_logical_size,avg_hh_f1
count_min__eps_0p01,count_min,zipf,non-interleaved,6.0,500000,1,0.01,0.01,,0.0009552593949346302,344.6776400689947,52776.0,1360.0,0.58
count_min__eps_0p01,count_min,zipf,non-interleaved,8.0,50000,1,0.01,0.01,,0.0009169555302166477,37.626548676159615,23208.0,1360.0,0.7100000000000001
count_min__eps_0p01,count_min,zipf,non-interleaved,8.0,100000,1,0.01,0.01,,0.000933066725585506,74.73513365054751,27408.0,1360.0,0.7100000000000001
count_min__eps_0p01,count_min,zipf,non-interleaved,8.0,200000,1,0.01,0.01,,0.0009489750974080976,145.6535824558541,40260.0,1360.0,0.65
count_min__eps_0p01,count_min,zipf,non-interleaved,8.0,500000,1,0.01,0.01,,0.0009594497627203872,346.2453574787035,52776.0,1360.0,0.58
count_min__eps_0p05,count_min,kosarak,non-interleaved,1.5,50000,1,0.05,0.01,,0.011038528939898803,345.1603865245804,12644.0,275.0,0.17
count_min__eps_0p05,count_min,kosarak,non-interleaved,1.5,100000,1,0.05,0.01,,0.011131738132402902,639.5880262140859,12980.0,275.0,0.17
count_min__eps_0p05,count_min,kosarak,non-interleaved,1.5,200000,1,0.05,0.01,,0.011059936442118142,1208.3075351057628,12676.0,275.0,0.15
count_min__eps_0p05,count_min,kosarak,non-interleaved,1.5,500000,1,0.05,0.01,,0.011027337534462387,2652.325893381074,12644.0,275.0,0.14
count_min__eps_0p05,count_min,kosarak,non-interleaved,2.0,50000,1,0.05,0.01,,0.011137559779276518,348.97470827498853,12644.0,275.0,0.19
count_min__eps_0p05,count_min,kosarak,non-interleaved,2.0,100000,1,0.05,0.01,,0.011149427549194992,658.31996688031,12908.0,275.0,0.16
count_min__eps_0p05,count_min,kosarak,non-interleaved,2.0,200000,1,0.05,0.01,,0.011093945766652989,1202.1583796375985,12652.0,275.0,0.16
count_min__eps_0p05,count_min,kosarak,non-interleaved,2.0,500000,1,0.05,0.01,,0.011063255653204304,2663.393085989121,12644.0,275.0,0.14
count_min__eps_0p05,count_min,kosarak,non-interleaved,3.0,50000,1,0.05,0.01,,0.011081413990540204,344.9424612007591,12644.0,275.0,0.18
count_min__eps_0p05,count_min,kosarak,non-interleaved,3.0,100000,1,0.05,0.01,,0.011040409739256836,649.849970007502,12836.0,275.0,0.17
count_min__eps_0p05,count_min,kosarak,non-interleaved,3.0,200000,1,0.05,0.01,,0.010996808445113604,1193.3540554821354,12644.0,275.0,0.15
count_min__eps_0p05,count_min,kosarak,non-interleaved,3.0,500000,1,0.05,0.01,,0.011067180173092054,2677.3495699565597,12644.0,275.0,0.14
count_min__eps_0p05,count_min,kosarak,non-interleaved,4.0,50000,1,0.05,0.01,,0.011103690027631247,346.2471715279888,12644.0,275.0,0.16
count_min__eps_0p05,count_min,kosarak,non-interleaved,4.0,100000,1,0.05,0.01,,0.01102767938652547,649.7236512525018,12764.0,275.0,0.16
count_min__eps_0p05,count_min,kosarak,non-interleaved,4.0,200000,1,0.05,0.01,,0.010983531537674736,1198.3138286722726,12644.0,275.0,0.16
count_min__eps_0p05,count_min,kosarak,non-interleaved,4.0,500000,1,0.05,0.01,,0.011055839241386157,2668.799849718608,12644.0,275.0,0.14
count_min__eps_0p05,count_min,kosarak,non-interleaved,6.0,50000,1,0.05,0.01,,0.011126914867212708,350.9455449539733,12644.0,275.0,0.19
count_min__eps_0p05,count_min,kosarak,non-interleaved,6.0,100000,1,0.05,0.01,,0.01104562868815252,648.167390673727,12724.0,275.0,0.17
count_min__eps_0p05,count_min,kosarak,non-interleaved,6.0,200000,1,0.05,0.01,,0.011032266149691893,1180.8065152006122,12644.0,275.0,0.16
count_min__eps_0p05,count_min,kosarak,non-interleaved,6.0,500000,1,0.05,0.01,,0.011106983672666468,2650.619281919818,12644.0,275.0,0.14
count_min__eps_0p05,count_min,kosarak,non-interleaved,8.0,50000,1,0.05,0.01,,0.010902094320486817,343.58525202463113,12644.0,275.0,0.19
count_min__eps_0p05,count_min,kosarak,non-interleaved,8.0,100000,1,0.05,0.01,,0.010953093518603163,646.1352302025551,12700.0,275.0,0.15
count_min__eps_0p05,count_min,kosarak,non-interleaved,8.0,200000,1,0.05,0.01,,0.011068045516769336,1195.343264434644,12644.0,275.0,0.17
count_min__eps_0p05,count_min,kosarak,non-interleaved,8.0,500000,1,0.05,0.01,,0.011134514579759863,2647.1804987869996,12644.0,275.0,0.14
count_min__eps_0p05,count_min,uniform,non-interleaved,1.5,50000,1,0.05,0.01,,0.017501090716019418,771.7330665958738,12644.0,275.0,0.01
count_min__eps_0p05,count_min,uniform,non-interleaved,1.5,100000,1,0.05,0.01,,0.01768045630991048,1355.4140091216714,12980.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,1.5,200000,1,0.05,0.01,,0.017842815583905335,2060.231845955736,12676.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,1.5,500000,1,0.05,0.01,,0.01796516372750332,2322.024189789579,12644.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,2.0,50000,1,0.05,0.01,,0.017513392222560663,770.6917440856939,12644.0,275.0,0.01
count_min__eps_0p05,count_min,uniform,non-interleaved,2.0,100000,1,0.05,0.01,,0.01770456448089162,1358.618351060622,12908.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,2.0,200000,1,0.05,0.01,,0.017835626597134696,2060.3438859715343,12652.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,2.0,500000,1,0.05,0.01,,0.01795446275701734,2314.808752237665,12644.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,3.0,50000,1,0.05,0.01,,0.01746425371614742,766.6725191746419,12644.0,275.0,0.01
count_min__eps_0p05,count_min,uniform,non-interleaved,3.0,100000,1,0.05,0.01,,0.01768522236300285,1355.477252251233,12836.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,3.0,200000,1,0.05,0.01,,0.01782137007007587,2053.376136558981,12644.0,275.0,0.01
count_min__eps_0p05,count_min,uniform,non-interleaved,3.0,500000,1,0.05,0.01,,0.017940709090360052,2314.8038625434906,12644.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,4.0,50000,1,0.05,0.01,,0.0175164306122449,768.3698401360544,12644.0,275.0,0.01
count_min__eps_0p05,count_min,uniform,non-interleaved,4.0,100000,1,0.05,0.01,,0.017675229822485206,1359.171981265458,12764.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,4.0,200000,1,0.05,0.01,,0.01780571710868435,2056.2296118732997,12644.0,275.0,0.01
count_min__eps_0p05,count_min,uniform,non-interleaved,4.0,500000,1,0.05,0.01,,0.017941064966716016,2314.1166421697544,12644.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,6.0,50000,1,0.05,0.01,,0.017481649720386377,768.1288277410608,12644.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,6.0,100000,1,0.05,0.01,,0.017671353038805026,1357.3265972308468,12724.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,6.0,200000,1,0.05,0.01,,0.017812706873829506,2051.835320297877,12644.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,6.0,500000,1,0.05,0.01,,0.017935250133440758,2308.7100743816,12644.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,8.0,50000,1,0.05,0.01,,0.017474349512102395,768.961426942086,12644.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,8.0,100000,1,0.05,0.01,,0.01763845095372157,1352.7131164770972,12700.0,275.0,0.0
count_min__eps_0p05,count_min,uniform,non-interleaved,8.0,200000,1,0.05,0.01,,0.017823875842612184,2056.2710948142562,12644.0,275.0,0.01
count_min__eps_0p05,count_min,uniform,non-interleaved,8.0,500000,1,0.05,0.01,,0.01795026668276827,2315.808160083271,12644.0,275.0,0.0
count_min__eps_0p05,count_min,zipf,non-interleaved,1.5,50000,1,0.05,0.01,,0.006677868256507197,269.9678044474961,12644.0,275.0,0.19
count_min__eps_0p05,count_min,zipf,non-interleaved,1.5,100000,1,0.05,0.01,,0.0066880005322451875,529.8438374348991,12644.0,275.0,0.18
count_min__eps_0p05,count_min,zipf,non-interleaved,1.5,200000,1,0.05,0.01,,0.0066874209447859555,1026.5698712295186,12644.0,275.0,0.17
count_min__eps_0p05,count_min,zipf,non-interleaved,1.5,500000,1,0.05,0.01,,0.006713780685240964,2413.386215217246,12644.0,275.0,0.15
count_min__eps_0p05,count_min,zipf,non-interleaved,2.0,50000,1,0.05,0.01,,0.006691092339062045,270.1295681012064,12644.0,275.0,0.18
count_min__eps_0p05,count_min,zipf,non-interleaved,2.0,100000,1,0.05,0.01,,0.006652937322946175,527.5574665386089,12644.0,275.0,0.17
